TH-2016-Edu-Corridor,Thai Education Facility Schedule Set,EIT-2016-Edu-Corridor-Ventilation,EIT-2016-Edu-Corridor-People Definition,90.1-2007-Edu-Corridor-Lights Definition
TH-2016-Edu-Conference,Thai Education Facility Schedule Set,EIT-2016-Edu-Conference-Ventilation,EIT-2016-Edu-Conference-People Definition,90.1-2007-Edu-Conference-Lights Definition
TH-2016-Edu-Office space,Thai Education Facility Schedule Set,EIT-2016-Edu-Office space-Ventilation,EIT-2016-Edu-Office space-People Definition,90.1-2007-Edu-Office space-Lights Definition
TH-2016-Edu-Breakroom,Thai Education Facility Schedule Set,EIT-2016-Edu-Breakroom-Ventilation,EIT-2016-Edu-Breakroom-People Definition,90.1-2007-Edu-Breakroom-Lights Definition
TH-2016-Edu-Coffee station,Thai Education Facility Schedule Set,EIT-2016-Edu-Coffee station-Ventilation,EIT-2016-Edu-Coffee station-People Definition,90.1-2007-Edu-Coffee station-Lights Definition
TH-2016-Edu-Fast-food dining,Thai Education Facility Schedule Set,EIT-2016-Edu-Fast-food dining-Ventilation,EIT-2016-Edu-Fast food dining-People Definition,90.1-2007-Edu-Fast food dining-Lights Definition
TH-2016-Office-Lobby,Thai Office Schedule Set,EIT-2016-Office-Lobby-Ventilation,EIT-2016-Office-Lobby-People Definition,90.1-2007-Office-Lobby-Lights Definition
TH-2016-Office-Storage,Thai Office Schedule Set,EIT-2016-Office-Storage-Ventilation,EIT-2016-Office-Storage-People Definition,90.1-2007-Office-Storage-Lights Definition
TH-2016-Office-Office space,Thai Office Schedule Set,EIT-2016-Office-Office space-Ventilation,EIT-2016-Office-Office space-People Definition,90.1-2007-Office-Office space-Lights Definition
TH-2016-Office-Reception area,Thai Office Schedule Set,EIT-2016-Office-Reception area-Ventilation,EIT-2016-Office-Reception area-People Definition,90.1-2007-Office-Reception area-Lights Definition
TH-2016-Office-Telephone/data entry,Thai Office Schedule Set,EIT-2016-Office-Telephone/data entry-Ventilation,EIT-2016-Office-Telephone/data entry-People Definition,90.1-2007-Office-Telephone/data entry-Lights Definition
TH-2016-Office-Conference,Thai Office Schedule Set,EIT-2016-Office-Conference-Ventilation,EIT-2016-Office-Conference-People Definition,90.1-2007-Office-Conference-Lights Definition
TH-2016-Office-Corridor,Thai Office Schedule Set,EIT-2016-Office-Corridor-Ventilation,EIT-2016-Office-Corridor-People Definition,90.1-2007-Office-Corridor-Lights Definition
TH-2016-Office-Computer,Thai Office Schedule Set,EIT-2016-Office-Computer-Ventilation,EIT-2016-Office-Computer-People Definition,90.1-2007-Office-Computer-Lights Definition
TH-2016-Office-Breakroom,Thai Office Schedule Set,EIT-2016-Office-Breakroom-Ventilation,EIT-2016-Office-Breakroom-People Definition,90.1-2007-Office-Breakroom-Lights Definition
TH-2016-Office-Coffee station,Thai Office Schedule Set,EIT-2016-Office-Coffee station-Ventilation,EIT-2016-Office-Coffee station-People Definition,90.1-2007-Office-Coffee station-Lights Definition
TH-2016-Office-Fast food dining,Thai Office Schedule Set,EIT-2016-Office-Fast food dining-Ventilation,EIT-2016-Office-Fast food dining-People Definition,90.1-2007-Office-Fast food dining-Lights Definition
