EIT-2016-Aud-Legislative chamber-Ventilation,0.0025,0.0003,0,0
EIT-2016-Aud-Library-Ventilation,0.0025,0.0006,0,0
EIT-2016-Aud-Lobby-Ventilation,0.0025,0.0003,0,0
EIT-2016-Aud-Corridor-Ventilation,0,0.0003,0,0
EIT-2016-Aud-Office space-Ventilation,0.0025,0.0003,0,0
EIT-2016-Aud-Conference-Ventilation,0.0025,0.0003,0,0
EIT-2016-Aud-Coffee stations-Ventilation,0.0025,0.0003,0,0
EIT-2016-Aud-Fast food dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Hotel-Bedroom/Living room-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Barracks sleep area-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Laundry-Ventilation,0.0025,0.0006,0,0
EIT-2016-Hotel-Laundry in dwelling unit-Ventilation,0.0025,0.0006,0,0
EIT-2016-Hotel-Lobby-Ventilation,0.0038,0.0003,0,0
EIT-2016-Hotel-Multipurpose-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Corridor-Ventilation,0,0.0003,0,0
EIT-2016-Hotel-Office space-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Conference-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Auditorium-Ventilation,0.0025,0.0003,0,0
EIT-2016-Hotel-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Hotel-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Hotel-Bars/Lounge-Ventilation,0.0038,0.0009,0,0
EIT-2016-Hotel-Kitchen-Ventilation,0.0038,0.0006,0,0
EIT-2016-Ent-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Ent-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0
EIT-2016-Ent-Bars/Lounge-Ventilation,0.0038,0.0009,0,0
EIT-2016-Ent-Kitchen-Ventilation,0.0038,0.0006,0,0
