90.1-2007-Ent-Office space-Lights Definition,12
90.1-2007-Ent-Conference-Lights Definition,14
90.1-2007-Dep-Sales-Lights Definition,18
90.1-2007-Dep-Mall common area-Lights Definition,18
90.1-2007-Dep-Barbershop-Lights Definition,18
90.1-2007-Dep-Beauty salon-Lights Definition,18
90.1-2007-Dep-Pet shop-Lights Definition,18
90.1-2007-Dep-Supermarket-Lights Definition,18
90.1-2007-Dep-Coin-operated laudries-Lights Definition,18
90.1-2007-Dep-Shipping-Lights Definition,5
90.1-2007-Dep-Warehouse-Lights Definition,10
90.1-2007-Dep-Photo studio-Lights Definition,18
90.1-2007-Dep-Refrigeration area-Lights Definition,18
90.1-2007-Dep-Bank vaults-Lights Definition,16
90.1-2007-Dep-Bank lobby-Lights Definition,16
90.1-2007-Dep-Corridor-Lights Definition,5
90.1-2007-Dep-Office space-Lights Definition,12
90.1-2007-Dep-Conference-Lights Definition,3
90.1-2007-Dep-Restaurant-Dining-Lights Definition,23
90.1-2007-Dep-Coffee station-Lights Definition,15
90.1-2007-Dep-Cafeteria/Fast-food dining-Lights Definition,15
90.1-2007-Dep-Bars/Lounge-Lights Definition,15
90.1-2007-Dep-Kitchen-Lights Definition,23
